Стас    Стасик
Даша    Дашенька
Даша    Дашуля
Даша    Дашечка
Глаша   Глашенька
Оля Оленька
Вася    Васенька
Володя  Володенька
Алёша   Алёшенька
Лёша    Лёшенька
Людмила Людмилочка
Вика    Викуся
Дана    Дануся
Дана    Данусенька
Домна   Доминушка
Коля    Коленька
Петя    Петенька
Витя    Витенька
Андрей  Андрюша
Вася    Васютка
Клава   Клавочка
Клара   Кларочка
Наташа  Наташенька
Полина  Полиночка
Поля    Полечка
Ирина   Ириночка
Ира Ирочка
Ириша   Иришенька
Надя    Наденька
Надя    Надюша
Лида    Лидочка
Лиза    Лизочка
Люда    Людочка
Катя    Катенька
Катя    Катюха
Рома    Ромочка
Яша Яшенька
Миша    Мишенька
Гриша   Гришенька
Юра Юрочка
Григорий    Григорьюшка
Влад    Владик
Слава   Славик
Гоша    Гошечка
Егор    Егорушка
Таня    Танюша
Марина  Мариша
Римма   Римуля
Маша    Машенька
Кристина    Кристюля
Нина    Нинуся
Нина    Нинуленька
Вера    Верочка
Митя    Митенька
Тося    Тосечка
Кеша    Кешенька
Дима    Димочка
Николай Николаюшка
Ирина   Иринушка
Юля Юлечка
Лариса  Ларисочка
Анфиса  Анфисочка
Лара    Ларочка
Толя    Толик
Маруся  Марусенка
Мария   Маруся
Пелагея Пелагеюшка
Андрей  Андрейка
Матвей  Матвеюшка
Арина   Аринушка
Дуня    Дунечка
Дуня    Дуняша
Роза    Розочка
Галя    Галечка
Галя    Галюня
Рая Раечка
Витька  Витечка
Тамара  Тамарочка
Тома    Томик
Камила  Камилушка
Софья   Софочка
Соня    Сонечка
Боря    Боренька
Таня    Танюшенька
Виталий Виталик
Оскар   Оскарик
Антон   Антоша
Антошка Антошечка
Игорь   Игорёк
Игорь   Игорёчек
Серёжа  Серёженька
Сергей  Сергеюшка
Петр    Петруша
Вова    Вовочка
Лада    Ладочка
Ося Осенька
Кирюша  Кирюшенька
Кирилл  Кириллушка
Кира    Кирочка
Жора    Жорочка
Геля    Гелечка
Павел   Павлуша
Паша    Пашечка
Анна    Аннушка
Эля Элечка
Эля Эленька
Лиза    Лизонька
Костя   Костенька
Костя   Костик
Веня    Венечка
Настя   Настенька
Лёва    Лёвушка
Сева    Севочка
Стелла  Стеллочка
Элла    Эллочка
Эмма    Эммочка
Эмилия  Эмиленька
Гена    Геночка
Земфира Земфирочка
Диана   Дианочка
Светлана    Светланочка
Алёна   Алёнушка
Иван    Иванушка
Галина  Галиночка
Киса    Кисуля
Киса    Кисулечка
Маша    Машуленька
Тима    Тимочка
Тимофей Тимофеюшка
Сильва  Сильвушка
Георгий Георгиюшка
Гера    Герочка
Вера    Верочка
Люба    Любочка
Люба    Любушка
Егуня   Егунечка
Гоша    Гошуня
Геша    Гешечка
Рита    Риточка
Рита    Ритуся
Лида    Лидочка
Нафаня  Нафанюшка
Филя    Филюшка
Маня    Манюня
Влада   Владочка
Лёня    Лёнечка
Аня Анюта
Нюта    Нюша
Илья    Ильюша
Гаврик  Гаврюша
Оскар   Оскарик
Варя    Варенька
Раиса   Раисочка
Василиса    Василисонька
Мишуля  Мишулечка
Тоня    Тонечка
Зара    Зарочка
Анжела  Анжелочка
Яна Яночка
Уля Улечка
Лолита  Лолиточка
Адель   Аделечка
Грета   Греточка
Нинель  Нинеленька
Инна    Инночка
Соломон Соломончик
Руслан  Русланчик
Диля    Дилечка
Алевтина    Алевтинушка
Фаина   Фаиночка
Сабрина Сабринушка
Даля    Далечка
Валя    Валенька
Тася    Тасенька
Олеся   Олесечка
Оксана  Оксаночка
Алла    Аллочка
Ксюша   Ксюшенька
Саломея Саломеюшка
Майя    Маечка
Стефанида   Стефанидочка
Стёпа   Стёпушка
Клёпа   Клёпочка
Ада Адочка
Азиза    Азизочка
Анита   Аниточка
Астра   Астрочка
Борислава   Бориславушка
Дина    Диночка
Динара  Динарочка
Елена   Еленочка
Юнона   Юноночка
Эльза   Эльзочка
Татьяна Татьяночка
Рената  Ренаточка
