грустный    веселый,смешной
веселый печальный
смешной печальный,серьезный
скучный интересный,захватывающий
умирать  рождаться,воскресать
смерть   жизнь,расцвет,рождение
рождение    смерть,похороны
свадьба развод
темный  светлый
плохой  хороший
горький сладкий
добро   зло
горячий холодный
сладкий кислый
съедобный   ядовиый
болезнь здоровье
воздушный   наземный
богатство   бедность
щедрый  жадный,скупой
храбрый трусливый
красивый    уродливый
красота уродство,убожество
соленый пресный
везунчик лузер
прекрасный  ужасный
смешной грустный
утро    вечер
день    ночь
лето    зима
весна   осень
нищий   богатый
богатый бедный
родина  чужбина
вода    суша,земля,огонь,воздух
земля   вода,огонь,воздух,море
огонь   вода,земля,воздух
воздух  вода,земля,огонь
море    земля,суша
океан   капля
толстый хилый,худой
ужасный восхитительный
лед пар,огонь
твердый мягкий
гладкий жесткий
государство анархия
жара    стужа,мороз,холод
любовь  ненависть
усталый отдохнувший
эволюция    революция
холод   жара,зной
пьяный  трезвый
трезвый пьяный
громкий тихий
честь   позор,бесчестье
отважный    трусливый
мужественный    трусливый
трусливый   бесстрашный
отважный    трусливый,малодушный
смелый  трусливый
совесть бессовестность
толстый тонкий
высокий низкий
мужество    трусость
трусость    бесстрашие,отвага,храбрость
голодный    сытый
теплый   прохлдный
солнечный   облачный
дождь   снег
солнце  облако
ветер   штиль,безветрие
человек животное
робот   человек
жидкий  твердый
черный  белый
крутой  плоский
гора    равнина
море    суша
солнце  луна
друг    враг,недруг
трагедия    комедия
шум тишина,беззвучие,безмолвие,молчание,покой
тишина  шум,гам,грохот,суета,суматоха,сумятица,кутерьма
